name,start,end
food,2016-10-03 17:23:25,2016-10-03 17:29:32
food,2016-10-03 17:29:34,2016-10-03 17:30:24
food,2016-10-04 13:59:59,2016-10-04 14:45:03
food,2016-10-04 20:18:52,2016-10-04 20:18:59
laundry,2016-10-04 19:20:54,2016-10-04 21:20:54
MHH,2016-10-04 11:08:08,2016-10-04 13:59:49
MHH,2016-10-04 14:45:03,2016-10-04 14:45:12
MHH,2016-10-04 14:45:13,2016-10-04 17:01:53
MHH,2016-10-04 17:50:09,2016-10-04 18:36:31
MHH break,2016-10-04 17:01:04,2016-10-04 17:15:04
reno,2016-10-03 13:22:32,2016-10-03 13:22:57
reno,2016-10-03 13:22:59,2016-10-03 13:24:55
reno,2016-10-03 17:30:24,2016-10-03 18:25:41
software,2016-10-03 18:25:41,2016-10-03 23:53:40
software,2016-10-03 23:53:49,2016-10-03 23:53:49
TV,2016-10-03 00:04:29,2016-10-05 00:04:29
TV,2016-10-03 23:53:40,2016-10-03 23:53:43
TV,2016-10-03 23:53:45,2016-10-03 23:53:46
TV,2016-10-03 23:53:47,2016-10-03 23:53:48
TV,2016-10-03 23:53:51,2016-10-03 23:54:01
TV,2016-10-03 23:54:11,2016-10-04 01:03:57
TV,2016-10-04 01:04:00,2016-10-04 11:08:08
