Task name,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Total
reno,  :  ,02:44,  :  ,01:41,  :  ,  :  ,  :  ,04:25
food,  :  ,00:06,00:45,01:08,00:25,  :  ,  :  ,02:24
software,  :  ,05:27,01:45,00:18,04:48,01:49,  :  ,14:10
MHH,  :  ,  :  ,05:54,  :  ,07:50,  :  ,  :  ,13:44
TV,  :  ,01:32,03:07,  :  ,  :  ,  :  ,  :  ,04:40
MHH break,  :  ,  :  ,00:14,  :  ,  :  ,  :  ,  :  ,00:14
laundry,  :  ,  :  ,02:00,00:00,  :  ,  :  ,  :  ,02:00
idle,  :  ,  :  ,  :  ,05:23,  :  ,  :  ,  :  ,05:23
shopping ,  :  ,  :  ,  :  ,  :  ,  :  ,  :  ,  :  ,  :  
smoking,  :  ,  :  ,  :  ,00:06,  :  ,  :  ,  :  ,00:06
Day total,00:00,09:50,13:47,08:38,13:03,01:49,00:00,47:09
